,Country,Income - Female,Income - Male
0,Norway,57140,72825
1,Australia,33688,50914
2,Switzerland,44132,69077
3,Denmark,36439,51727
4,Netherlands,29500,61641
5,Germany,34886,53290
6,Ireland,30104,49166
7,United States,43054,63158
8,Canada,33587,50853
9,New Zealand,24309,41372
182,Burundi,693,825
183,Chad,1657,2513
130,India,2116,8656
145,Nepal,1956,2690
147,Pakistan,1450,8100
174,Ethiopia,1090,1765
175,Gambia,1267,1753
185,Niger,491,1319
186,Arab States,5686,24985
,World,10296,18373
